StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,9,201604,3.27,67.2,-1.88,-1.88,-0.07,-1.85,100,34,0.3,-0.14,0.05,0.13,0.03,-0.46,-0.1,55.6,78.7
9,9,201605,3.86,73.8,-1.63,-1.63,0.16,-1.45,273,0,0.41,0.29,-0.02,-0.06,-0.06,-0.1,-0.1,62.2,85.4
9,9,201606,5.72,81.7,-1.41,-1.41,0.18,-1.07,501,0,0.18,0.28,0.25,0.11,0.06,0.06,0.06,70.8,92.6
9,9,201607,3,85,-2.47,-2.47,-3.62,-2.47,620,0,-2.39,-1.17,-0.84,-0.57,-0.32,-0.38,-0.06,73.8,96.1
9,9,201608,4.49,83.1,-3.09,-3.09,-2.64,-3.09,561,0,-0.77,-2.76,-1.53,-1.12,-0.89,-0.78,-0.11,73.4,92.9
9,9,201609,5.56,78.7,-2.98,-2.98,-0.63,-2.98,411,0,0.35,-0.27,-1.3,-0.71,-0.62,-0.6,-0.41,69.1,88.3
9,9,201610,5.67,70,-2.02,-2.02,1.96,-1.16,178,23,1.21,0.95,0.46,-0.22,-0.2,-0.12,-0.03,58.8,81.3
9,9,201611,0.14,60.9,-2.61,-2.61,-2.38,-2.61,45,168,-2.1,0.41,0.39,-0.66,-0.61,-0.57,-0.53,47.9,73.9
9,9,201612,4.87,57.7,-2.12,-2.12,0.65,-1.78,39,265,1.03,0.09,0.77,-0.27,-0.15,-0.19,-0.31,46.8,68.5
9,9,201701,6.25,57.4,-1.09,-1.09,2.44,0.33,62,298,1.41,1.51,0.82,0.79,0.27,0.18,-0.1,46.2,68.5
9,9,201702,1.78,60.7,-1.76,-1.76,-2.34,-1.29,61,182,-0.98,0.41,0.8,0.76,-0.06,-0.14,-0.31,47.8,73.6
9,9,201703,0.87,61,-2.49,-2.49,-2.73,-2.49,55,179,-1.68,-1.83,-0.46,0.24,-0.52,-0.38,-0.46,48.6,73.5
9,9,201704,2.19,70,-2.78,-2.78,-1.64,-2.78,162,12,-0.32,-1.51,-1.7,-0.47,-0.16,-0.55,-0.79,57.2,82.9
9,9,201705,5.32,74.7,-2.25,-2.25,0.73,-1.88,301,0,0.97,0.42,-0.47,0.2,0.33,-0.35,-0.36,62.2,87.3
9,9,201706,6.23,79.2,-1.73,-1.73,0.85,-0.96,426,0,0.45,0.92,0.52,-0.05,0.41,-0.28,-0.23,70.4,88
9,9,201707,6.54,83,-1.64,-1.64,-0.27,-0.94,558,0,0.23,0.31,0.77,-0.58,0.06,0.23,-0.19,73.5,92.6
9,9,201708,5.54,82.4,-1.81,-1.81,-1.02,-1.46,539,0,-0.18,-0.04,0.12,-0.35,0.21,0.36,-0.33,73.7,91.2
9,9,201709,6.61,78.3,-1.41,-1.41,0.66,-0.76,399,0,0.68,0.39,0.36,0.51,0.13,0.46,-0.17,68.8,87.8
9,9,201710,2.7,71.1,-1.42,-1.42,-0.47,-0.91,206,16,0.07,0.45,0.26,0.63,-0.34,0.08,-0.12,60.7,81.5
9,9,201711,1.04,60.4,-1.72,-1.72,-1.35,-1.63,40,178,-0.67,-0.36,0.14,0.18,-0.21,0.19,-0.37,48.3,72.4
9,9,201712,2.8,53.3,-1.74,-1.74,-0.6,-1.74,16,379,-0.05,-0.43,-0.34,0.02,0.22,-0.09,-0.16,43.3,63.3
9,9,201801,2.63,46.4,-1.66,-1.66,-0.3,-1.66,11,587,-0.27,-0.26,-0.51,-0.17,0.25,-0.59,-0.29,34.9,57.9
9,9,201802,1.72,62.6,-2.36,-2.36,-2.61,-2.36,84,151,-1.02,-0.89,-0.78,-0.45,-0.32,-0.58,-0.54,52,73.2
9,9,201803,2.21,57.5,-2.57,-2.57,-1.36,-2.57,26,258,-0.76,-1.26,-1.15,-1.07,-0.67,-0.38,-0.61,44.5,70.5
9,9,201804,3.17,64.4,0.07,-2.24,0.2,-2.1,55,73,0.25,-0.4,-0.9,-1,-0.7,-0.26,-0.62,51.7,77
9,9,201805,6.14,74.8,0.76,-1.31,2.09,-0.22,304,0,1.23,0.99,0.38,-0.28,-0.2,-0.16,-0.41,63.8,85.8
9,9,201806,6.09,81.2,0.97,-0.89,0.88,0.56,486,0,0.38,1.12,1,-0.18,-0.32,-0.16,-0.39,70.8,91.7
9,9,201807,7.63,82.3,1.25,1.25,1.13,1.25,536,0,0.71,0.65,1.31,0.24,-0.06,0.01,0.09,73.1,91.5
9,9,201808,4.64,81.8,-0.39,0.73,-1.18,-0.08,521,0,-0.68,0.03,0.13,0.28,-0.19,-0.13,0.1,72.1,91.4
9,9,201809,2.76,81.4,-1.18,-1.18,-2.47,-1.18,492,0,-0.84,-1.38,-0.62,0.15,-0.54,-0.66,-0.21,72,90.7
9,9,201810,2.3,72.1,-1.48,-1.48,-1.27,-1.48,232,12,-0.14,-0.88,-1.29,0.02,-0.52,-0.76,-0.56,61.3,82.8
9,9,201811,3.95,59.2,0.54,-0.78,1.63,0.17,30,204,1.22,0.54,-0.21,-0.07,0.08,-0.34,-0.21,49.2,69.1
9,9,201812,8.27,54.3,2.05,2.05,4.68,2.05,20,351,2.36,2.14,1.55,0.75,1.04,0.39,0.26,44.4,64.2
9,9,201901,3.12,52.7,0,1.83,-0.01,1.76,30,411,0,1.58,1.7,0.49,1.03,0.44,-0.1,42,63.4
9,9,201902,1.25,60.4,-0.94,0.7,-2.82,-0.73,58,187,-1.4,-0.88,0.73,0.32,0.32,0.38,-0.13,49.5,71.3
9,9,201903,1.77,60.4,-1.52,-1.52,-2.02,-1.52,49,191,-1.03,-1.66,-1.29,0.41,-0.02,0.36,0,48.2,72.6
9,9,201904,2.94,67.9,-1.54,-1.54,-0.54,-1.54,113,26,0.13,-0.67,-1.28,0.47,-0.29,0.31,0.06,55.3,80.5
9,9,201905,2.11,78.4,-2.14,-2.14,-2.27,-2.14,415,0,-0.56,-0.48,-0.97,-0.13,-0.29,-0.22,-0.31,66.2,90.5
9,9,201906,6.38,80.8,-1.97,-1.97,-0.14,-1.96,474,0,0.53,-0.1,-0.18,-1.05,0.23,-0.17,-0.31,70,91.6
9,9,201907,4.75,82.6,-2.58,-2.58,-2.44,-2.58,546,0,-0.78,-0.29,-0.65,-1.4,0.12,-0.6,-0.52,72,93.2
